classifier,features,n_gram_range,stop_words,stemming,best_score,accuracy,precision,recall,best_params,f1
rf,count,"(1, 1)",custom,TRUE,74.88,91.88,79.668,70.884,"{'class_weight': {0: 1, 1: 5}, 'criterion': 'entropy', 'max_depth': 7, 'max_features': 'auto', 'n_estimators': 200}",74.876
rf,count,"(1, 2)",custom,TRUE,73.8,91.48,77.994,70.296,"{'class_weight': {0: 1, 1: 6}, 'criterion': 'entropy', 'max_depth': 10, 'max_features': 'auto', 'n_estimators': 400}",73.8
rf,tfidf,"(1, 1)",custom,TRUE,73.55,91.428,78.204,69.708,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 8, 'max_features': 'auto', 'n_estimators': 300}",73.552
rf,count,"(1, 3)",custom,TRUE,73.17,91.678,81.882,66.472,"{'class_weight': {0: 1, 1: 5}, 'criterion': 'entropy', 'max_depth': 4, 'max_features': 'auto', 'n_estimators': 600}",73.172
rf,count,"(1, 4)",custom,TRUE,73.1,91.176,76.91,70.002,"{'class_weight': {0: 1, 1: 6}, 'criterion': 'entropy', 'max_depth': 9, 'max_features': 'auto', 'n_estimators': 600}",73.096
SVM,count,"(1, 3)",custom,TRUE,72.89,91.278,78.164,68.532,"{'C': 50, 'class_weight': {0: 1, 1: 4}, 'gamma': 'auto', 'kernel': 'sigmoid'}",72.89
SVM,count,"(1, 4)",custom,TRUE,72.8,91.48,80.086,67.06,"{'C': 1, 'class_weight': {0: 1, 1: 4}, 'gamma': 0.01, 'kernel': 'rbf'}",72.806
SVM,count,"(1, 2)",custom,TRUE,72.75,91.23,77.97,68.826,"{'C': 5, 'class_weight': {0: 1, 1: 5}, 'gamma': 0.01, 'kernel': 'rbf'}",72.752
rf,tfidf,"(1, 2)",custom,TRUE,72.62,90.926,74.96,70.59,"{'class_weight': {0: 1, 1: 6}, 'criterion': 'entropy', 'max_depth': 10, 'max_features': 'auto', 'n_estimators': 400}",72.624
rf,tfidf,"(1, 3)",custom,TRUE,72.6,90.624,73.07,72.354,"{'class_weight': {0: 1, 1: 6}, 'criterion': 'gini', 'max_depth': 10, 'max_features': 'auto', 'n_estimators': 100}",72.598
SVM,tfidf,"(1, 3)",custom,TRUE,72.5,90.776,74.152,71.178,"{'C': 200, 'class_weight': {0: 1, 1: 5}, 'gamma': 'auto', 'kernel': 'rbf'}",72.496
SVM,count,"(1, 1)",custom,TRUE,72.46,90.326,71.154,74.412,"{'C': 50, 'class_weight': {0: 1, 1: 5}, 'gamma': 'auto', 'kernel': 'rbf'}",72.464
rf,tfidf,"(1, 4)",custom,TRUE,72.4,90.526,72.514,72.648,"{'class_weight': {0: 1, 1: 6}, 'criterion': 'gini', 'max_depth': 10, 'max_features': 'auto', 'n_estimators': 100}",72.4
SVM,tfidf,"(1, 4)",custom,TRUE,72.39,90.728,73.938,71.178,"{'C': 200, 'class_weight': {0: 1, 1: 5}, 'gamma': 'auto', 'kernel': 'rbf'}",72.388
SVM,tfidf,"(1, 2)",custom,TRUE,71.89,90.726,75.06,69.414,"{'C': 1, 'class_weight': {0: 1, 1: 5}, 'gamma': 0.1, 'kernel': 'rbf'}",71.886
SVM,tfidf,"(1, 1)",custom,TRUE,71.05,90.928,78.364,65.588,"{'C': 0.5, 'class_weight': {0: 1, 1: 4}, 'gamma': 0.5, 'kernel': 'rbf'}",71.046
rf,count,"(2, 3)",custom,TRUE,67.77,90.778,84.302,57.352,"{'class_weight': {0: 1, 1: 6}, 'criterion': 'entropy', 'max_depth': 10, 'max_features': 'auto', 'n_estimators': 400}",67.776
rf,tfidf,"(2, 3)",custom,TRUE,65.8,89.522,74.544,59.704,"{'class_weight': {0: 1, 1: 6}, 'criterion': 'entropy', 'max_depth': 9, 'max_features': 'auto', 'n_estimators': 500}",65.806
SVM,count,"(2, 3)",custom,TRUE,65.73,90.022,79.278,56.47,"{'C': 5, 'class_weight': {0: 1, 1: 4}, 'gamma': 0.01, 'kernel': 'rbf'}",65.736
SVM,tfidf,"(2, 3)",custom,TRUE,62.62,88.42,70.51,57.058,"{'C': 200, 'class_weight': {0: 1, 1: 4}, 'gamma': 0.001, 'kernel': 'rbf'}",62.62
